id,task_id,file_name,file_id,file_url,uploaded_by,uploaded_at
1,1,______________.pdf,1GnoilO4AKQLwVGuNPBxgTzvIJq4xKq7i,https://drive.google.com/file/d/1GnoilO4AKQLwVGuNPBxgTzvIJq4xKq7i/view?usp=drivesdk,саша,2026-03-26T09:58:51.968Z
2,2,TIMUR_ISKANDAROV_BAXODIROVICH_SHOOL_CERTIFICATE.pdf,1zYXEegynWFOYENnscFjuhqlGpBggc-Vq,https://drive.google.com/file/d/1zYXEegynWFOYENnscFjuhqlGpBggc-Vq/view?usp=drivesdk,саша,2026-03-26T10:18:00.346Z
3,3,report.pdf,1vpl_pcldfUp-X45Gb603Zd9tz-buFYCu,https://drive.google.com/file/d/1vpl_pcldfUp-X45Gb603Zd9tz-buFYCu/view?usp=drivesdk,саша,2026-03-26T10:29:07.585Z
4,4,______________.pdf,18iztDUKHvLPAuicJSkPHf_y7p-4JGg6C,https://drive.google.com/file/d/18iztDUKHvLPAuicJSkPHf_y7p-4JGg6C/view?usp=drivesdk,саша,2026-03-26T11:10:38.999Z
